reactor,vendor,output_mwe_low,output_mwe_high,cooling,source,basis_tag,verified_source
Oklo Aurora,Oklo,75,75,sodium,Vendor design rating,vendor,"Oklo Aurora ~75 MWe"
NuScale VOYGR,NuScale,77,77,light-water,Vendor design rating,vendor,"NuScale VOYGR 77 MWe/module"
Xe-100,X-energy,80,80,helium/TRISO,Vendor design rating,vendor,"X-energy Xe-100 80 MWe/module"
BWRX-300,GE-Hitachi,300,300,boiling-water,Vendor design rating,vendor,"GE-Hitachi BWRX-300 300 MWe"
Natrium,TerraPower,345,500,sodium+molten-salt storage,Vendor design rating,vendor,"TerraPower Natrium 345-500 MWe (500 with storage boost)"
