flow_lpm,dp_bar,velocity_ms,source,basis_tag
200,0.036,0.66,js/cdu-engine.js Darcy-Weisbach + Haaland friction (fixed 80mm ID, 20m run, sumK=10, PG25 25% @ 30C),derived
400,0.138,1.33,js/cdu-engine.js Darcy-Weisbach + Haaland friction (fixed 80mm ID, 20m run, sumK=10, PG25 25% @ 30C),derived
600,0.304,1.99,js/cdu-engine.js Darcy-Weisbach + Haaland friction (fixed 80mm ID, 20m run, sumK=10, PG25 25% @ 30C),derived
800,0.535,2.65,js/cdu-engine.js Darcy-Weisbach + Haaland friction (fixed 80mm ID, 20m run, sumK=10, PG25 25% @ 30C),derived
1000,0.831,3.32,js/cdu-engine.js Darcy-Weisbach + Haaland friction (fixed 80mm ID, 20m run, sumK=10, PG25 25% @ 30C),derived
1200,1.19,3.98,js/cdu-engine.js Darcy-Weisbach + Haaland friction (fixed 80mm ID, 20m run, sumK=10, PG25 25% @ 30C),derived
1400,1.614,4.64,js/cdu-engine.js Darcy-Weisbach + Haaland friction (fixed 80mm ID, 20m run, sumK=10, PG25 25% @ 30C),derived
1600,2.101,5.31,js/cdu-engine.js Darcy-Weisbach + Haaland friction (fixed 80mm ID, 20m run, sumK=10, PG25 25% @ 30C),derived
1800,2.653,5.97,js/cdu-engine.js Darcy-Weisbach + Haaland friction (fixed 80mm ID, 20m run, sumK=10, PG25 25% @ 30C),derived
2000,3.269,6.63,js/cdu-engine.js Darcy-Weisbach + Haaland friction (fixed 80mm ID, 20m run, sumK=10, PG25 25% @ 30C),derived
