fault_id,fault_name,severity,occurrence,detection,rpn,source,basis_tag
F11.1,Coolant chemistry drift,7,5,4,140,FMECA-KG docs/research/csv/sod_rpn.csv (ASME J.Electron.Packag.140 020902),derived
F11.4,Dielectric fluid degradation,6,4,5,120,FMECA-KG docs/research/csv/sod_rpn.csv (3M),derived
F11.3,Manifold/hose leak,9,4,3,108,FMECA-KG docs/research/csv/sod_rpn.csv (OCP),derived
F11.2,CDU pump failure,10,3,2,60,FMECA-KG docs/research/csv/sod_rpn.csv (Vertiv/Uptime Institute),derived
F11.5,Filter clogging,5,6,2,60,FMECA-KG docs/research/csv/sod_rpn.csv (OCP),derived
