stage,value_mw,source,basis_tag,verified_source
operational,487,"Johor (Malaysia) data-center pipeline",published,"Johor 487 MW live/operational (5.8 GW total pipeline)"
under_construction,422,"Johor (Malaysia) data-center pipeline",published,"Johor 422 MW under construction"
committed,1400,"Johor (Malaysia) data-center pipeline",published,"Johor 1.4 GW committed (land + power secured)"
early_stage_planning,3400,"Johor (Malaysia) data-center pipeline",published,"Johor 3.4 GW early-stage planning"
