tier,availability_pct,max_annual_downtime_hours,topology,source,basis_tag,verified_source
Tier I,99.671,28.8,Basic,Uptime Institute Tier Standard,standard,"Tier I 99.671% => 28.8 h/yr"
Tier II,99.741,22.7,Redundant components,Uptime Institute Tier Standard,standard,"Tier II 99.741% => 22.7 h/yr"
Tier III,99.982,1.6,Concurrently maintainable (N+1),Uptime Institute Tier Standard,standard,"Tier III 99.982% => 1.6 h/yr"
Tier IV,99.995,0.4,Fault tolerant (2N),Uptime Institute Tier Standard,standard,"Tier IV 99.995% => 0.4 h/yr"
